"","Company.name","SH...Name","SH...Country.ISO.code","SH...Type","SH...City"
"1","TWENTY20 CAPITAL INVESTMENTS LIMITED","IJMH LIMITED","GB","Corporate","LONDON"
"2","TWENTY20 CAPITAL INVESTMENTS LIMITED","TWENTY 20 CAPITAL LIMITED","GB","Corporate","LONDON"
"3","NUTRIUS UK TOPCO LIMITED","URSAE BIDCO LIMITED","GB","Corporate",""
"4","OCTOPUS CAPITAL LIMITED","ZEDRA TRUST COMPANY (GUERNSEY) LIMITED (REF OCTOPUS CAPITAL EBT)","n.a.","Mutual and pension fund, nominee, trust, trustee",""
"5","OCTOPUS CAPITAL LIMITED","MILLBOURN INVESTMENTS LIMITED","GB","Financial company","SAINT HELIER"
"6","OCTOPUS CAPITAL LIMITED","MONTY INVESTMENTS LIMITED","GB","Financial company","SAINT HELIER"
"7","OCTOPUS CAPITAL LIMITED","JAMES HAY PENSION TRUSTEES LIMITED (MIKE COKER)","n.a.","Mutual and pension fund, nominee, trust, trustee",""
"8","FUSION TOPCO LIMITED","EQUISTONE PARTNERS EUROPE FUND VI ""E"" SCSP","LU","Mutual and pension fund, nominee, trust, trustee","SENNINGERBERG"
"9","FUSION TOPCO LIMITED","EQUISTONE PARTNERS EUROPE FUND VI ""B"" SCSP","LU","Mutual and pension fund, nominee, trust, trustee","SENNINGERBERG"
"10","FUSION TOPCO LIMITED","EQUISTONE PARTNERS EUROPE FUND VI ""A"" SCSP","LU","Mutual and pension fund, nominee, trust, trustee","SENNINGERBERG"
"11","FUSION TOPCO LIMITED","EQUISTONE PARTNERS EUROPE FUND VI ""D"" SCSP","LU","Mutual and pension fund, nominee, trust, trustee","SENNINGERBERG"
"12","FUSION TOPCO LIMITED","EQUISTONE PARTNERS EUROPE FUND VI ""C"" SCSP","LU","Mutual and pension fund, nominee, trust, trustee","SENNINGERBERG"
"13","FUSION TOPCO LIMITED","FUSION TOPCO LIMITED","n.a.","Corporate",""
"14","FUSION TOPCO LIMITED","EQUISTONE PARTNERS EUROPE FUND VI ""F"" SCSP","LU","Mutual and pension fund, nominee, trust, trustee","SENNINGERBERG"
"15","FUSION TOPCO LIMITED","EQUISTONE VI EXCESS SCSP","LU","Corporate","SENNINGERBERG"
"16","FUSION TOPCO LIMITED","EQUISTONE VI EQUITY SC","GB","Corporate",""
"17","PRAXIS CARE","PRAXIS CARE","GB","Corporate","BELFAST"
"18","RUBICONE TOPCO LIMITED","AEP OCV LP","GB","Mutual and pension fund, nominee, trust, trustee","LONDON"
"19","RUBICONE TOPCO LIMITED","AUGUST EQUITY PARTNERS V A LP","GB","Mutual and pension fund, nominee, trust, trustee","LONDON"
"20","RUBICONE TOPCO LIMITED","AEP OCV GENERAL PARTNER LLP","GB","Corporate","LONDON"
"21","SALUTEM LD TOPCO LIMITED","CREO 10 S.À R.L.","LU","Corporate","LUXEMBOURG"
"22","SALUTEM LD TOPCO LIMITED","V ELECTA S.À R.L.","LU","Corporate","LUXEMBOURG"
"23","HAMPDEN HOLDINGS LIMITED","HAMPDEN GROUP MANAGEMENT LTD DIRECTORS PENSION SCHEME","GB","Mutual and pension fund, nominee, trust, trustee",""
"24","CEDAR PROJECT HOLDCO LIMITED","CEDAR LUXCO S.À R.L.","LU","Corporate","LUXEMBOURG"
"25","NATIONAL FOSTERING GROUP LIMITED","BELTON ASSOCIATES HOLDINGS LIMITED","GB","Corporate","BOLTON"
