"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep","Organisation_fame_search","X.x","Company.name","foreign_any","left","invest_any","X.y","No.of.companies.in.corporate.group","X.x.x","Profit.margin.Last.avail..yr","Berry.ratio.Last.avail..yr","EBITDA.margin.Last.avail..yr","Salaries..Turnover.Last.avail..yr","X.y.y","LA.Number.x","LA_Code.x","year.x","category.x","subcategory.x","variable.x","number","percent.x","year.y","children_in_care","X.x.x.x","LA.Number.y","LA_Code.y","year.x.x","category.y","subcategory.y","variable.y","outsideno","outside","X.y.y.y","LA.Number","LA_Code","year.y.y","category","subcategory","variable","others_inside","percent.y","IMD.2019...Extent","Average_house_price","net_gain","high_net_gain","high_need_areas","low_cost_areas","joined","age","month","year","age_months","age_years","rating_numeric"
"1","Local Authority","SC059639",8,"BRADFORD",NA,NA,"Inadequate",2015-03-18,1,NA,"2015-04-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105816,"380","E08000032",2023,"net gain","net gain","Net gain of children by responsible LA","-292",NA,2023,"1588",138360,"380","E08000032",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","557","35",105814,"380","E08000032",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","265",NA,0.4981,178025,-292,0,0,0,0,NA,NA,NA,NA,NA,1
"2","Private","SC457502",1,"WIRRAL",NA,NA,"Good",2015-03-10,1,NA,"2015-11-25",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105771,"344","E08000015",2023,"net gain","net gain","Net gain of children by responsible LA","58",NA,2023,"772",137532,"344","E08000015",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","161","21",105769,"344","E08000015",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","219",NA,0.3526,208505,58,0,0,0,0,NA,NA,NA,NA,NA,3
"3","Local Authority","SC030369",2,"SOMERSET",NA,NA,"Inadequate",2015-02-25,1,NA,"2016-02-05",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106086,"933","E10000027",2023,"net gain","net gain","Net gain of children by responsible LA","3",NA,2023,"564",143742,"933","E10000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","213","38",106084,"933","E10000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","216",NA,0.0847,290264,3,0,0,0,0,NA,NA,NA,NA,NA,1
"4","Local Authority","SC359275",4,"NORTH TYNESIDE",NA,NA,NA,2015-02-25,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,105837,"392","E08000022",2023,"net gain","net gain","Net gain of children by responsible LA","63",NA,2023,"360",135876,"392","E08000022",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","117","33",105835,"392","E08000022",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","180",NA,0.232,202108,63,0,0,0,0,NA,NA,NA,NA,NA,NA
"5","Private","SC458758",4,"BIRMINGHAM",NA,NA,NA,2015-02-17,1,NA,"2015-07-27",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105738,"330","E08000025",2023,"net gain","net gain","Net gain of children by responsible LA","178",NA,2023,"2201",139809,"330","E08000025",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","888","40",105736,"330","E08000025",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1066",NA,0.5792,229962,178,0,0,0,0,NA,NA,NA,NA,NA,NA
"6","Private","SC480784",4,"LEICESTERSHIRE",NA,NA,"Good",2015-02-12,1,"2014-09-08","2015-11-11",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105948,"855","E10000018",2023,"net gain","net gain","Net gain of children by responsible LA","345",NA,2023,"681",139257,"855","E10000018",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","250","37",105946,"855","E10000018",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","595",NA,0.0247,286368,345,1,0,0,1,NA,NA,NA,NA,NA,3
"7","Private","SC428196",4,"LANCASHIRE",NA,NA,"Inadequate",2015-02-05,1,NA,"2015-04-17",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,NA,NA,NA,NA,NA,1
"8","Private","SC422346",4,"NORFOLK",NA,NA,"Good",2015-02-04,1,NA,"2016-02-15",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106074,"926","E10000020",2023,"net gain","net gain","Net gain of children by responsible LA","38",NA,2023,"1213",141120,"926","E10000020",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","256","21",106072,"926","E10000020",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","294",NA,0.1504,277201,38,0,0,0,0,NA,NA,NA,NA,NA,3
"9","Private","SC461118",3,"HARTLEPOOL",NA,NA,NA,2015-02-03,1,NA,"2015-04-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105861,"805","E06000001",2023,"net gain","net gain","Net gain of children by responsible LA","8",NA,2023,"321",135324,"805","E06000001",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","108","34",105859,"805","E06000001",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","116",NA,0.4973,130850,8,0,0,1,0,NA,NA,NA,NA,NA,NA
"10","Private","SC461716",1,"LIVERPOOL",NA,NA,"Good",2015-02-03,1,NA,"2015-07-11",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105762,"341","E08000012",2023,"net gain","net gain","Net gain of children by responsible LA","-295",NA,2023,"1477",137325,"341","E08000012",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","670","45",105760,"341","E08000012",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","375",NA,0.6213,173665,-295,0,0,0,0,NA,NA,NA,NA,NA,3
"11","Private","SC475223",54,"KENT",NA,NA,NA,2015-02-03,1,"2014-04-11","2016-02-09",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106023,"886","E10000016",2023,"net gain","net gain","Net gain of children by responsible LA","793",NA,2023,"1942",142293,"886","E10000016",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","368","19",106021,"886","E10000016",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1161",NA,0.1401,344708,793,0,0,0,1,NA,NA,NA,NA,NA,NA
"12","Private","SC067218",2,"SOMERSET",NA,NA,NA,2015-01-29,1,NA,"2015-09-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106086,"933","E10000027",2023,"net gain","net gain","Net gain of children by responsible LA","3",NA,2023,"564",143742,"933","E10000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","213","38",106084,"933","E10000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","216",NA,0.0847,290264,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"13","Private","SC466515",3,"WOLVERHAMPTON",NA,NA,"Inadequate",2015-01-28,1,NA,"2015-08-07",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105756,"336","E08000031",2023,"net gain","net gain","Net gain of children by responsible LA","69",NA,2023,"501",140223,"336","E08000031",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","262","52",105754,"336","E08000031",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","331",NA,0.4828,205083,69,0,1,0,0,NA,NA,NA,NA,NA,1
"14","Private","SC456225",4,"BIRMINGHAM",NA,NA,"Inadequate",2015-01-21,1,NA,"2015-04-29",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105738,"330","E08000025",2023,"net gain","net gain","Net gain of children by responsible LA","178",NA,2023,"2201",139809,"330","E08000025",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","888","40",105736,"330","E08000025",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1066",NA,0.5792,229962,178,0,0,0,0,NA,NA,NA,NA,NA,1
"15","Local Authority","SC034205",3,"NORTH YORKSHIRE",NA,NA,"Good",2015-01-20,1,NA,"2015-04-07",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105885,"815","E10000023",2023,"net gain","net gain","Net gain of children by responsible LA","279",NA,2023,"464",138705,"815","E10000023",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","88","19",105883,"815","E10000023",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","367",NA,0.0581,272647,279,1,0,0,0,NA,NA,NA,NA,NA,3
"16","Local Authority","SC474585",2,"RICHMOND UPON THAMES",NA,NA,NA,2015-01-16,1,"2014-04-04","2015-07-02",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105729,"318","E09000027",2023,"net gain","net gain","Net gain of children by responsible LA","-66",NA,2023,"130",145881,"318","E09000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","111","85",105727,"318","E09000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","45",NA,0.0076,745641,-66,0,1,0,1,NA,NA,NA,NA,NA,NA
"17","Private","SC414369",2,"CUMBRIA",NA,NA,"Good",2015-01-15,1,NA,"2015-11-12",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106059,"909","E10000006",2023,"net gain","net gain","Net gain of children by responsible LA","-51",NA,2023,"740",137601,"909","E10000006",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","249","34",106057,"909","E10000006",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","198",NA,0.1636,NA,-51,0,0,NA,0,NA,NA,NA,NA,NA,3
"18","Local Authority","SC442279",4,"GLOUCESTERSHIRE",NA,NA,"Outstanding",2015-01-15,1,NA,"2016-02-08",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106062,"916","E10000013",2023,"net gain","net gain","Net gain of children by responsible LA","-56",NA,2023,"864",143673,"916","E10000013",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","275","32",106060,"916","E10000013",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","219",NA,0.0772,328800,-56,0,0,0,0,NA,NA,NA,NA,NA,4
"19","Private","SC425599",1,"SHROPSHIRE",NA,NA,"Good",2015-01-14,1,NA,"2015-07-31",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,NA,NA,NA,NA,NA,3
"20","Private","SC458189",2,"SOMERSET",NA,NA,NA,2015-01-13,1,NA,"2015-09-01",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106086,"933","E10000027",2023,"net gain","net gain","Net gain of children by responsible LA","3",NA,2023,"564",143742,"933","E10000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","213","38",106084,"933","E10000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","216",NA,0.0847,290264,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"21","Private","SC425519",3,"SHROPSHIRE",NA,NA,NA,2015-01-07,1,NA,"2015-07-31",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,NA,NA,NA,NA,NA,NA
"22","Private","SC407551",10,"LANCASHIRE",NA,NA,NA,2015-01-07,1,NA,"2016-01-22",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,NA,NA,NA,NA,NA,NA
"23","Private","SC423382",2,"SOMERSET",NA,NA,"Good",2015-01-06,1,NA,"2015-07-14",NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106086,"933","E10000027",2023,"net gain","net gain","Net gain of children by responsible LA","3",NA,2023,"564",143742,"933","E10000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","213","38",106084,"933","E10000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","216",NA,0.0847,290264,3,0,0,0,0,NA,NA,NA,NA,NA,3
