"","Sector.x","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep","Organisation_fame_search","X.x","Company.name","X.1","X.y","Indiv","Invest","LA_owned_companies","Sector.y","Sector_merge","year","joined","left","age","X.x.x","profit_margin_average","ebitda_margin_average","salaries_turnover_average","Region.Country.name","net_loss","median_house_price_detached","median_wage","average_house_price_per_sq_m","residential_expenditure","Unemployment.rate...aged.16.64.","occupancy_rate_fte","X..of.white...aged.16.","claimant_count_rate","rel_pov_per","overall.average","number_of_inspections","ever_outstanding","ever_inadequate","children_in_care","net_loss_s","median_wage_s","median_house_price_detached_s","average_house_price_per_sq_m_s","children_in_care_s","residential_expenditure_s","claimant_count_rate_s","X..of.white...aged.16._s","Unemployment.rate...aged.16.64._s","occupancy_rate_fte_s","rel_pov_per_s","closed","age_years","X.y.y","chain_size","binary_sector_private","net_loss_2014","needQuint","houseQuint","chain_size_0s","X.x.x.x","reqs_per","recs_per","house_price_2014","children_in_care_23","X.y.y.y","sector_third","sector_invest","sector_corp","sector_indiv","sector_la","majority"
"1","Local Authority","SC059639",8,"BRADFORD",NA,NA,"Inadequate",2015-03-18,1,NA,"2015-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,1,NA,NA,NA,NA,NA,"Yorkshire and The Humber",42.3636363636364,28.2907727272727,13.7836363636364,1637,28947929.1818182,6.62,75.27,73.84,5.30909090909091,41.0379124298289,1,4,0,1,120.714285714286,1.00849492410107,-0.291165153223199,-0.273599373610471,-0.554060350052405,1.03513322669954,1.06347129224501,1.55399624420139,-1.20883553408938,1.48082229431496,-1.34545048750225,2.58303258181287,"1",NA,1,13,"0",19,"5","2",1.3,1415,0,0,1658,99.36,NA,NA,0,NA,NA,1,"Lab"
"2","Voluntary","SC394025",60,"SURREY",NA,NA,"Outstanding",2015-02-27,1,NA,"2020-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third sector",2015,0,1,NA,NA,NA,NA,NA,"South East",11,72.8636363636364,17.0990909090909,5054.12121212121,26211045.2727273,2.87,74.03,90.21,1.60909090909091,8.41397100954262,4,3,1,0,111.928571428571,0.578254993300509,2.00883205901748,1.19714293589164,1.84651764934389,0.836745207238847,0.805812864207002,-1.3414017298122,0.118459191790245,-1.1804821435396,-1.53228731040789,-1.76772103775658,"1",NA,NA,NA,"0",-27,"3","4",NA,1876,32,42,NA,59.5,NA,1,NA,NA,NA,NA,"Con"
"3","Local Authority","SC030369",2,"SOMERSET",NA,NA,"Inadequate",2015-02-25,1,NA,"2016-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,1,NA,NA,NA,NA,NA,"South West",-18.5454545454545,34.3635909090909,13.2763636363636,2413.86666666667,14860374.2727273,3.41,80.03,97.91,2.29090909090909,NA,1,3,0,1,64.5,0.172956507763745,-0.643070402587142,-0.0732184712125568,-0.00830007036169349,-0.234227515703427,-0.262773215502935,-0.807851734600852,0.742782306590068,-0.797254304488543,-0.628238167316073,NA,"1",NA,2,5,"0",-38,"1","3",0.5,1034,1.33333333333333,1,NA,18.72,NA,NA,0,NA,NA,1,"LD"
"4","Local Authority","SC359275",4,"NORTH TYNESIDE",NA,NA,NA,2015-02-25,1,NA,"2015-03-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,1,NA,NA,NA,NA,NA,"North East",15.6363636363636,28.0951363636364,14.1290909090909,1785,7500748,5.48,95.41,96.84,3.5,19.8390410926848,1.5,3,0,1,34.2857142857143,0.641855678723201,-0.0515164170972158,-0.280054661734306,-0.45008816941966,-0.916488753360929,-0.955630420764534,0.138310256907274,0.656025717910093,0.67178574520717,1.68914113614261,-0.244065009268366,"1",NA,3,10,"0",11,"4","2",1,1676,0,0,1732,12.72,NA,NA,0,NA,NA,1,"Lab"
"5","Local Authority","SC034205",3,"NORTH YORKSHIRE",NA,NA,"Good",2015-01-20,1,NA,"2015-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,1,NA,NA,NA,NA,NA,"Yorkshire and The Humber",-33.8181818181818,32.67,12.8772727272727,2085.7619047619,6246436.81818182,2.52,95.09,98.13,1.87272727272727,NA,3,2,0,0,33.4285714285714,-0.0365516324521817,-0.919927758269527,-0.129100808621008,-0.238798499897002,-0.935843682088802,-1.07371502285682,-1.13509573166381,0.760620109870062,-1.42887055773936,1.64092518184438,NA,"1",NA,4,7,"0",-17,"1","3",0.7,1130,0,0,NA,2.97,NA,NA,0,NA,NA,1,"Con"
"6","Local Authority","SC474585",2,"RICHMOND UPON THAMES",NA,NA,NA,2015-01-16,1,"2014-04-04","2015-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,1,116,NA,NA,NA,NA,"London",16.6363636363636,138.045454545455,17.7018181818182,8938,3884706.22545455,4.07,88,84.11,2.06363636363636,5.71077756310829,2,1,0,0,23,0.655573473618292,2.42695603810045,3.34790575410251,4.57499972291835,-1.17132864827792,-1.29605539686761,-0.985701733004636,-0.376134444609615,-0.328864723426142,0.572640444424221,-2.12822096999828,"1",9.66666666666667,5,1,"0",12,"4","5",0.1,2549,0,0,8438,18,NA,NA,0,NA,NA,1,"LD"
"7","Local Authority","SC442279",4,"GLOUCESTERSHIRE",NA,NA,"Outstanding",2015-01-15,1,NA,"2016-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,1,NA,NA,NA,NA,NA,"South West",4.63636363636363,38.1749545454545,14.4909090909091,2679.22222222222,16132857.1818182,3.36,83.33,95.23,2.12727272727273,15.3190946409321,4,3,1,0,55.5,0.490959934877206,0.199484101266313,0.0525426601033299,0.178116117166176,-0.437454267346087,-0.142977872714535,-0.935903733451576,0.52548543027013,-0.832738363659938,-0.131011138615575,-0.846848502895997,"1",NA,6,3,"0",-33,"2","3",0.3,2209,0,0,NA,52.56,NA,NA,0,NA,NA,1,"Con plurality"
"8","Local Authority","SC470513",NA,"KENT",NA,NA,"Good",2015-01-13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2015,0,0,NA,NA,NA,NA,NA,"South East",-141,44.7295363636364,14.2936363636364,3260.16666666667,23672013.1818182,4.41,86.02,93.39,2.88181818181818,16.2387247448216,2,2,0,1,140.5,-1.50684983075324,0.062632059847002,0.268820009473108,0.586238149026767,1.48190949816793,0.566780797443524,-0.345441738751016,0.376296530110172,-0.0875731210606622,0.274304227203922,-0.72420593339106,"0",NA,7,7,"0",-143,"1","4",0.7,2498,4.5,5,NA,16.92,NA,NA,0,NA,NA,1,"Con"
"9","Voluntary","SC460790",3,"NOTTINGHAMSHIRE",NA,NA,NA,2014-12-23,1,NA,"2015-10-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third sector",2014,0,1,NA,NA,NA,NA,NA,"East Midlands",-9.36363636363636,26.0930909090909,13.1090909090909,1667.57142857143,29052576,4.39,90.79,94.97,2.65454545454545,19.1932172779861,2,2,0,0,102.857142857143,0.29891080634594,-0.759110843237617,-0.346114876746926,-0.532583471041393,0.631905544868864,1.07332305635614,-0.5232917371548,0.504404390030135,-0.10176674472922,0.993023295961913,-0.330192563974475,"1",NA,NA,NA,"0",-6,"2","2",NA,2411,0,0,NA,68.9,NA,1,NA,NA,NA,NA,"Con"
"10","Local Authority","SC379659",5,"LIVERPOOL",NA,NA,"Outstanding",2014-12-03,1,NA,"2016-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Authority",2014,0,1,NA,NA,NA,NA,NA,"North West",39.3636363636364,27.5771636363636,15.2581818181818,1414.33333333333,22387419.3636364,6.02,86.02,88.89,5.14545454545455,28.1800664539038,4,3,1,0,96.3571428571429,0.967341539415802,0.731756557293496,-0.297145876949536,-0.710486964157526,0.485130668682498,0.445845297490215,1.42594424535066,0.0114323721102752,1.05501358425823,0.274304227203922,0.868300471460412,"1",NA,8,3,"0",9,"5","1",0.3,1794,0,0,1391,49.7,NA,NA,0,NA,NA,1,"Lab"
