"","X","Company.name","Indiv","Invest","LA_owned_companies","Sector"
"1",1,"'DE NOVO' CARE LTD",4,0,0,"Individual owned"
"2",2,"1848 LTD",24,0,0,"Individual owned"
"3",3,"24/7 SUPPORT UK LIMITED",4,0,0,"Individual owned"
"4",4,"247 BLUEBELL CARE LIMITED",1,0,0,"Individual owned"
"5",5,"2ND NURTURE LIMITED",4,0,0,"Individual owned"
"6",6,"3 DIMENSIONS CARE LIMITED",0,31360,0,"Investment owned"
"7",7,"3S ADOLESCENT CARE LIMITED",24,4,0,"Investment owned"
"8",8,"4 KEYS CARE LTD",1,0,0,"Individual owned"
"9",9,"4D CARE LIMITED",4,0,0,"Individual owned"
"10",10,"4PUREHEART LIMITED",8,0,0,"Individual owned"
"11",11,"5AB CARE LTD",216,0,0,"Individual owned"
"12",12,"A & S CHILDRENS SERVICES LTD",1,0,0,"Individual owned"
"13",13,"A & T HOME LIMITED",2,0,0,"Individual owned"
"14",14,"A & T HOMES LIMITED",0,0,0,"Corporate owned"
"15",15,"A J RESIDENTIAL CARE LTD",30,0,0,"Individual owned"
"16",16,"A SIGNIFICANT OTHER LIMITED",0,2816,0,"Investment owned"
"17",17,"A WILDERNESS WAY LIMITED",0,48087,0,"Investment owned"
"18",18,"A&M CARE SOLUTIONS LTD",4,0,0,"Individual owned"
"19",19,"A&R GUARDIAN SERVICES LIMITED",4,0,0,"Individual owned"
"20",20,"A-TRIANGLE CARE LTD",6,0,0,"Individual owned"
"21",21,"ABBEY GREEN THERAPEUTIC CHILDREN'S SERVICES LTD",24,0,0,"Individual owned"
"22",22,"ABC CARE AND EDUCATION LTD",18,0,0,"Individual owned"
"23",23,"ABOVE AND BEYOND RESIDENTIAL CARE LTD",3,0,0,"Individual owned"
"24",24,"ABSOLUTE CHILDRENS CARE LTD",9,0,0,"Individual owned"
"25",25,"ABSOLUTE CHILDRENS SERVICES LTD",139968,0,0,"Individual owned"
"26",26,"ABUNDANTIA CARE LIMITED",0,0,0,"Corporate owned"
"27",27,"ACCALIA CARE SERVICES LTD",39,0,0,"Individual owned"
"28",28,"ACHERON CARE LIMITED",18,0,0,"Individual owned"
"29",29,"ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY",6,0,0,"Individual owned"
"30",30,"ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY",0,0,9,"LA owned company"
"31",31,"ACORN CARE (UK) LIMITED",0,0,0,"Corporate owned"
"32",32,"ACORN CHILDREN'S HOME (BRANSTON) LTD",6,0,0,"Individual owned"
"33",33,"ACORN CHILDREN'S HOME (BURTON) LTD",0,0,0,"Corporate owned"
"34",34,"ACORN HOMES (U.K.) LIMITED",0,0,0,"Corporate owned"
"35",35,"ACORN HOMES (UK) LIMITED",0,72,0,"Investment owned"
"36",36,"ACORN NORFOLK LIMITED",0,31360,0,"Investment owned"
