"","Company.name","SH...Name","SH...Country.ISO.code","SH...Direct..","SH...Type","SH...City"
"1","WITHERSLACK GROUP LIMITED","WITHERSLACK GROUP (HOLDINGS) LIMITED","GB","100.00","Corporate","CARNFORTH"
"2","ASPRIS CHILDREN'S SERVICES LIMITED","ASPRIS BIDCO LIMITED","GB","100.00","Corporate","LEICESTER"
"3","CAMBIAN CHILDCARE LIMITED","ADVANCED CHILDCARE SERVICES LIMITED","GB","100.00","Corporate","POTTERS BAR"
"4","CAMBIAN CHILDCARE LIMITED","CARETECH HOLDINGS LIMITED","GB","-","Corporate","POTTERS BAR"
"5","ELYSIUM HEALTHCARE LIMITED","ELYSIUM HEALTHCARE HOLDINGS 3 LIMITED","GB","100.00","Corporate","BOREHAMWOOD"
"6","ELYSIUM HEALTHCARE LIMITED","RAMSAY HEALTH CARE (UK) LIMITED","GB","-","Corporate","LONDON"
"7","KIDS PLANET DAY NURSERIES LIMITED","FREMMAN CAPITAL SL.","ES","100.00","Corporate","MADRID"
"8","CONSENSUS SUPPORT SERVICES LIMITED","SSCP PEGASUS BIDCO LIMITED","GB","100.00","Corporate","COLCHESTER"
"9","PRAXIS CARE","PRAXIS CARE","GB","FC","Corporate","BELFAST"
"10","SUNDERLAND CARE AND SUPPORT LIMITED","SUNDERLAND CARE AND SUPPORT (HOLDING COMPANY) LIMITED","GB","WO","Corporate","SUNDERLAND"
"11","CARETECH COMMUNITY SERVICES LIMITED","CARETECH HOLDINGS LIMITED","GB","100.00","Corporate","POTTERS BAR"
"12","KISIMUL GROUP LIMITED","KISIMUL SCHOOL HOLDINGS LIMITED","GB","100.00","Corporate","LINCOLN"
"13","BARNARDO SERVICES LIMITED","BARNARDO'S","GB","-","Corporate","ILFORD"
"14","BARNARDO SERVICES LIMITED","BARNARDO HOLDINGS LIMITED","GB","WO","Corporate","ILFORD"
"15","FIVE RIVERS CHILD CARE LIMITED","FIVE RIVERS IRELAND LIMITED","IE","99.94","Corporate","DUBLIN"
"16","FIVE RIVERS CHILD CARE LIMITED","MIDHURST CHILD CARE LIMITED","GB","0.06","Corporate","SALISBURY"
"17","THE HESLEY GROUP LIMITED","HESLEY CARE & EDUCATION LIMITED","GB","100.00","Corporate","DONCASTER"
"18","HEXAGON CARE SERVICES LIMITED","HCS GROUP LIMITED","GB","100.00","Corporate","PRESTON"
"19","COMPASS CHILDREN'S HOMES LIMITED","COMPASS COMMUNITY LTD","GB","100.00","Corporate","LEICESTER"
"20","HORIZON CARE AND EDUCATION GROUP LIMITED","SIMPLY UK HOLDINGS LTD","GB","100.00","Corporate","BELLSHILL"
"21","A WILDERNESS WAY LIMITED","A WILDERNESS WAY HOLDINGS LIMITED","GB","100.00","Corporate","PENRITH"
